GENERIC,INDICATION,"CLASSIFICATION,FORM, STRENGTH",ADE,DRUGINTERACTION,"PRECAUTION, CONTRAINDICATION, PREGNANCY CATEGORY","DOSAGE REGIMEN, FOOD INTAKE"
ceftizoxime,"Susceptible infections,Uncomplicated UTI,Uncomplicated gonorrhoea","Classification
Cephalosphorins
Dosage form
Injection-1g","Rash, pruritus, fever; transient elevation in AST, ALT and alkaline phosphatase; transient eosinophilia, thrombocytosis; burning, cellulitis, phlebitis, pain, induration and tenderness at inj site, paraesthesia; nausea, vomiting, diarrhoea; transient rise in BUN and creatinine. Rarely, anaemia, neutropenia, leucopenia, thrombocytopenia, vaginitis, numbness.
Potentially Fatal: Anaphylaxis, pseudomembranous colitis.",Renal clearance reduced w/ probenecid. ,"Precaution
Patient w/ history of GI disease, particularly colitis; hypersensitivity to penicillins. Renal impairment. Pregnancy and lactation.
Contraindication
Hypersensitivity to ceftizoxime.
Pregnancy category
B","Dosage regimen
Intramuscular
Uncomplicated gonorrhoea
Adult:ÿ1 g as a single dose.
Parenteral
Uncomplicated urinary tract infections
Adult:ÿ0.5 g 12 hrly given as deep IM or slow IV inj over 3-5 min.
Parenteral
Susceptible infections
Adult:ÿ1-2 g 8-12 hrly given as deep IM or slow IV inj over 3-5 min, increased to 2-4 g IV 8 hrly in severe infections. Max: 2 g 4 hrly.
Child:ÿ_6 mthÿ50 mg/kg 6-8 hrly.
Fppd intake
May take with or without food"
ceftriaxone,"Susceptible infections, Prophylaxis of surgical infections,Uncomplicated gonorrhoeaÿ","Classification
Cephalosphorins
Form and strength
powd for inj 1 g","Diarrhoea, nausea, vomiting; neutropenia, eosinophilia, anaemia, rash, pruritus, fever, chills, increased serum concentrations of AST, ALT, BUN; local reactions (e.g. pain, induration, ecchymosis, tenderness at inj site). Rarely, pancreatitis, hypoprothrombinaemia.
Potentially Fatal: Anaphylaxis, Clostridium difficile-associated diarrhoea and colitis, haemolytic anaemia.","May increase nephrotoxicity of aminoglycosides. May diminish therapeutic effect of BCG, typhoid vaccine, Na picosulfate. May increase anticoagulant effect of vit K antagonists (e.g. warfarin). May increase serum level w/ probenecid.
Potentially Fatal: Admin w/ Ca-containing IV soln may cause precipitation of a crystalline material in the lungs and kidneys. ","Precaution
Patient w/ history of penicillin allergy, history of GI disease esp colitis, gallbladder disease. Renal or hepatic impairment. Pregnancy and lactation.
Contraindication
Hypersensitivity to ceftriaxone or other cephalosporins. Neonates <41 wk corrected gestational age; neonates >41 wk corrected gestational age w/ jaundice, hypoalbuminaemia, or acidosis; hyperbilirubinaemic neonates esp prematures. Concomitant treatment w/ IV Ca (including TPN containing Ca) in neonates >41 wk corrected gestational age.
Pregnancy category
B
","Dosage regimen
Intramuscular
Uncomplicated gonorrhoea
Adult:ÿ250 mg as a single dose.
Parenteral
Prophylaxis of surgical infections
Adult:ÿ1 g as a single dose given 0.5-2 hr prior to surgery via deep IM inj or slow IV inj over at least 2-4 min, intermittent IV infusion over at least 30 min. Colorectal surgery: 2 g.
Parenteral
Susceptible infections
Adult:ÿ1 g once daily via deep IM inj or slow IV inj over at least 2-4 min, intermittent IV infusion over at least 30 min, increased to 2-4 g daily as a single dose in severe infections.
Child:ÿ_12 yrÿ20-50 mg/kg once daily increased to 80 mg/kg in severe infections. Doses _50 mg/kg should be given as IV infusion over at least 30 min. Max: 50 mg/kg daily via IV infusion over 60 min (neonates).
Food intake
May take with or without food
"
cefoperazone,Susceptible infections.,"Classification
Cephalosphorins
Form and strength
Injection1g","Skin rash, urticaria; eosinophilia, diarrhoea, nausea, vomiting; phloebitis; hypoprothrombinaemia; superinfection.
Potentially Fatal:ÿNeuromuscular hypersensitivity; nephrotoxicity.","Disulfiram-like reaction with alcohol. Potentiates anticoagulants.
Potentially Fatal: Enhances nephrotoxicity by aminoglycosides and furosemide. ","Precaution
History of penicillin allergy; renal or hepatic impairment; pregnancy, lactation; cystic fibrosis.
Contraindication
Hypersensitivity to cephalosporin.
Pregnancy category
C","Dosage regimen
Parenteral
Susceptible infections
Adult:ÿAs sodium: 2-4 g daily in 2 divided doses, increased to 12 g daily in 2-4 divided doses for severe infections given as deep IM or IV infusion.
Food intake
May take with or without food"
ceftazidime,"Susceptible infections,Pseudomonal lung infections in cystic fibrosis,ÿProphylaxis of surgical infection in patients undergoing prostate surgery","Classification
Cephalosphorins
Form and strength
powd for inj 1 g
","Diarrhoea, nausea, vomiting, abdominal pain, metallic taste; eosinophilia, thrombocytosis; pruritus, rash (maculopapular, erythematous), urticaria, photosensitivity, angioedema, fever; transient increases in serum concentrations of AST, ALT, alkaline phosphatase, LDH, _-glutamyltransferase, bilirubin, serum creatinine concentrations; local reactions (e.g. phlebitis, pain or inflammation at inj site), candidiasis, vaginitis. Rarely, transient leucopenia, neutropenia thrombocytopenia, agranulocytosis, lymphocytosis.
Potentially Fatal: Anaphylactic reactions, Clostridium difficile-associated diarrhoea and colitis.","May increase nephrotoxicity of aminoglycosides. May diminish therapeutic effect of BCG, typhoid vaccine, Na picosulfate. May increase anticoagulant effect of vit K antagonists (e.g. warfarin). May increase serum level w/ probenecid. ","Precaution
Patient w/ history of penicillin allergy, seizure disorder. Renal impairment. Pregnancy and lactation.
Contraindication
Hypersensitivity to ceftazidime or other cephalosporins.
Pregnancy category
B","Dosage regimen
Parenteral
Prophylaxis of surgical infection in patients undergoing prostate surgery
Adult:ÿ1 g at induction of anaesth repeated if necessary upon removal of catheter. It is given as deep IM inj, slow IV inj over 3-5 min or IV infusion for up to 30 min.
Elderly:ÿ>80 yrÿMax: 3 g daily.
Parenteral
Pseudomonal lung infections in cystic fibrosis
Adult:ÿ100-150 mg/kg 8 hrly as deep IM inj, slow IV inj over 3-5 min or IV infusion for up to 30 min. Max: 9 g daily.
Child:ÿ<40 kg: 150 mg/kg daily in 3 divided doses. Max: 6 g daily.
Elderly:ÿ>80 yrÿMax: 3 g daily.
Parenteral
Bone and joint infections, Complicated intra-abdominal infections, Skin and skin structure infections, complicated
Adult:ÿ1-2 g 8 hrly as deep IM inj, slow IV inj over 3-5 min or IV infusion for up to 30 min.
Child:ÿ<40 kg: 100-150 mg/kg daily in 3 divided doses. Max: 6 g daily.
Elderly:ÿ>80 yrÿMax: 3 g daily.
Parenteral
Bacterial meningitis, Empiric therapy for febrile neutropenic patients, Nosocomial pneumonia
Adult:ÿ2 g 8 hrly as deep IM inj, slow IV inj over 3-5 min or IV infusion for up to 30 min.
Child:ÿ<40 kg: 150 mg/kg daily in 3 divided doses. Max: 6 g daily.
Elderly:ÿ>80 yrÿMax: 3 g daily.
Parenteral
Complicated urinary tract infections
Adult:ÿ1-2 g 8-12 hrly as deep IM inj, slow IV inj over 3-5 min or IV infusion for up to 30 min.
Child:ÿ<40 kg: 100-150 mg/kg daily in 3 divided doses. Max: 6 g daily.
Elderly:ÿ>80 yrÿMax: 3 g daily.
Food Intake
May take with or without food"
cefepime,Treatment of resp tract & skin infections; UTI. ,"Classification
Cephalosphorins
Dosage form and strength
powd for inj 1 g
","Headache, rash, diarrhoea, nausea, vomiting, local reactions (e.g. phlebitis, pain and/or inflammation), neutropenia, positive direct Coombs' test.
Potentially Fatal: Neurotoxicity (e.g. encephalopathy, myoclonus, seizures, non-convulsive status epilepticus); Clostridium difficile-associated diarrhoea; anaphylaxis.",Increased potential for nephrotoxicity and ototoxicity of aminoglycosides. Increased risk of nephrotoxicity w/ potent diuretics (e.g. furosemide). ,"Precautions
Hypersensitivity to penicillins or other _-lactam antibiotics. Patient w/ history of seizure disorder, history of GI disease, particularly colitis. Renal impairment. Pregnancy and lactation. Prolonged use may result in overgrowth of non-susceptible organisms.
Contraindication
Hypersensitivity to cefepime or other cephalosporins.
Pregnancy category
B","Dosage regimen
Parenteral
Abdominal infections, Respiratory tract infections, Skin and skin structure infections, Urinary tract infections
Adult:ÿMild to moderate infections: 1-2 g daily in 2 divided doses. Severe infections: Up to 4 g daily in 2 divided doses. Doses are given by deep IM inj or IV infusion over at least 30 min.
Child:ÿNeonates: 30 mg/kg 12 hrly, may increase to 50 mg/kg forÿPseudomonasÿinfections;ÿ>30 daysMild to moderate infections: 100 mg/kg daily in 2 divided doses. Severe infections: Up to 150 mg/kg daily in 2 or 3 divided doses. Total dose should not exceed the recommended adult dosage.
Parenteral
Empiric therapy for febrile neutropenic patients
Adult:ÿUp to 6 g daily in 3 divided doses. Doses are given by deep IM inj or IV infusion over at least 30 min.
Food intake
May take with or without food"
CEFADROXIL,"Treatment of susceptible infections including those of the resp & urinary tract, & of the skin. ","J01DB05 - cefadroxil ; Belongs to the class of first-generation cephalosporins. 
Used in the systemic treatment of infections.
","GI discomfort, diarrhea, skin rashes, urticaria, eosinophilia, angioedema, anaphylaxis.",Bacteriostatic antibiotics. Probenecid.,"PRECAUTION
Allergic patients especially history of penicillin allergy. Severe renal impairment.
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B
","DOSAGE REGIMEN
Adult 500 mg once daily or 250 mg bid. 
FOOD INTAKE
May be taken with or without food: May be taken w/ meals to reduce GI discomfort
"
CEFALEXIN,"Treatment of UTI, otitis media; resp, skin & other infections due to sensitive organisms.",J01DB01 -ÿcefalexinÿ; Belongs to the class of first-generation cephalosporins. Used in the systemic treatment of infections.,"GI discomfort, diarrhea, skin rashes, urticaria, eosinophilia, angioedema, anaphylaxis.",Bacteriostatic antibiotics. Probenecid.,"PRECAUTION
Allergic patients especially history of penicillin allergy. Severe renal impairment.
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B
","DOSAGE REGIMEN
Cap 1 cap. Susp Adult 1-2 g daily given in divided doses 6-12 hrly. Severe infections Up to 6 g/day. Childn 25-100 mg/kg body wt daily in divided doses. Max 4 g/day. 5-12 yr 1 tsp, 1-5 yr « tsp. Drops Infant 0.3-0.6 mL. To be taken 6 hrly.
FOOD INTAKE
May be taken with or without food: May be taken w/ meals to reduce GI discomfort
"
CEFALORIDINE,"treatment, control, prevention, & improvement of the following diseases, conditions and symptoms such as urinary tract infections and Pneumococcal pneumonia.","Cephalosporin
Injection
1g","Rash, pruritus,urticaria, nause, vomiting and abdominal pain.",null,PRECAUTION,null
CEFALOTIN,"Used to prevent infection during surgery and to treat many kinds of infections of the blood, bone or joints, respiratory tract, skin, and urinary tract.","Cephalosporin
Lkiquid
Powder for solution","Hypersensitivity reactions occur in up to 15% of patients with a history of penicillin allergy. Manifestations may include urticarial or maculopapular rash, bronchospasm, and drug fever. Anaphylaxis, including severe hypotension and cardiac arrest, is reported.",null,"Precaution
Adverse events in infants are unlikely.
Warning
Should only be given to patient when disease is clearly stated.
Pregnancy category
B",
CEFAZOLIN,"Treatment of infections eg resp tract, GIT, GUT, skin, soft tissue & post-op infections.","J01DB04 - cefazolin ; Belongs to the class of first-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION
1G
","Allergic reactions including skin rashes, urticaria & anaphylaxis; neutropenia & leucopenia; transient rise in SGOT, SGPT, alkaline phosphates & BUN.",,"PRECAUTION
Cross-allergenicity in penicillin-sensitive patients. Renal impairment. Pregnancy & lactation. Premature infants & those <1 mth.
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B
","DOSAGE REGIMEN
Adult Mild to moderately severe infections 1.5-2 g bid or tid in equally divided doses. Severe bacterial infection 3-4 g bid or tid in equally divided doses. Severe, life-threatening infections Up to 6 g daily. Childn 12 yr or 40 kg 1.125-4.5 g daily; 7 yr or 23 kg 750 mg to 3 g; 1 yr or 10 kg375 mg to 1.5 g; 4 mth or 6.5 kg 300 mg to 1.2 g.
FOOD INTAKE
May be taken with or without food: May be taken w/ meals to reduce GI discomfort.
"
CEFRADINE,"Tonsillitis, pharyngitis, lobar pneumonia & bronchitis; prostatitis, cystitis, nephropyelitis & urethritis; abscess, cellulitis, furuncle & impetigo; otitis media, bone infection & septicemia.","J01DB09 - cefradine ; Belongs to the class of first-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR INJECTION-1G
POWDER FOR INJECTION-500 MG
","Shock, hypersensitivity; hematologic reactions; renal impairment, GI disorders, interstitial pneumonia, PIE syndrome, stomatitis, candidiasis, vit K deficiency; headache, dizziness, malaise, epigastric distress & glossitis.",,"PRECAUTION
Allergic reactions eg bronchial asthma, skin rash or urticaria. Severe nephropathy. Thrombophlebitis. Pregnancy & lactation.
CONTRAINDICATION
Sensitivity to cephalosporins & penicillin.
PREGNANCY CATEGORY
B
","DOSAGE REGIMEN
IM/IV Adult 2-4 g/day qid. Simple pneumonia, skin & skin tissue infection & UTI 500 mg qid. Severe infection eg septicemia 8 g/day. Childn 50-100 mg/kg/day qid.
FOOD INTAKE
May be taken with or without food: May be taken w/ meals to reduce GI discomfort.
"
CEFACLOR,"Resp tract infections, otitis media, UTI, skin & soft tissue infection & gonococcal urethritis.","J01DC04 - cefaclor ; Belongs to the class of second-generation cephalosporins. Used in the systemic treatment of infections.
POWDER FOR ORAL SUSP-250MG/5ML
POWDER FOR ORAL SUSP-50MG/ML
","Skin rashes, urticaria, eosinophilia, fever, serum sickness-like anaphylactic reactions, hemolytic anemia & acute interstitial nephritis. Overgrowth of nonsusceptible organism.",,"PRECAUTION
Monitor renal & hematological status during prolonged & high-dose therapy, pseudomembranous colitis.
CONTRAINDICATION
Hypersensitivity to cephalosporins.
PREGNANCY CATEGORY
B
","DOSAGE REGIMEN
Childn >5 yr 1 tsp 8 hrly, 1-5 yr « tsp 8 hrly, >1 mth 20 mg/kg body wt daily in 3 divided doses. Acute gonococcal urethritis in male & female 3 g as a single dose in combination w/ probenecid 1 g. Serious infections, otitis media & infections caused by susceptible organisms 40 mg/kg/day in divided doses. Max dose: 1 g/day.
FOOD INTAKE
May be taken with or without food
"
